date,number_of_lines,author,revision
"2015-11-19 06:31:05 +0000 (Thu, 19 Nov 2015)",lines,Vincent,r1547493
"2015-11-18 09:06:34 +0000 (Wed, 18 Nov 2015)",lines,Vincent,r1546917
"2015-11-17 15:38:50 +0000 (Tue, 17 Nov 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1546493
"2015-11-17 14:56:49 +0000 (Tue, 17 Nov 2015)",lines,Vincent,r1546460
"2015-11-17 14:09:45 +0000 (Tue, 17 Nov 2015)",lines,Thomas,r1546414
"2015-11-16 15:35:27 +0000 (Mon, 16 Nov 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1545714
"2015-11-16 14:47:41 +0000 (Mon, 16 Nov 2015)",line,Jimmy,r1545674
"2015-11-16 14:40:00 +0000 (Mon, 16 Nov 2015)",line,Jimmy,r1545670
"2015-11-16 14:35:39 +0000 (Mon, 16 Nov 2015)",line,Jimmy,r1545663
"2015-11-16 14:30:47 +0000 (Mon, 16 Nov 2015)",line,Jimmy,r1545657
"2015-11-16 14:26:50 +0000 (Mon, 16 Nov 2015)",line,Jimmy,r1545652
"2015-11-16 13:45:04 +0000 (Mon, 16 Nov 2015)",line,Jimmy,r1545628
"2015-11-12 20:10:20 +0000 (Thu, 12 Nov 2015)",line,Dave,r1544560
"2015-11-12 15:48:11 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544422
"2015-11-12 15:47:49 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544421
"2015-11-12 15:31:13 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544404
"2015-11-12 14:37:08 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544362
"2015-11-12 14:31:35 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544360
"2015-11-12 14:27:36 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544350
"2015-11-12 14:16:04 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544342
"2015-11-12 14:11:02 +0000 (Thu, 12 Nov 2015)",line,Jimmy,r1544339
"2015-11-12 11:44:34 +0000 (Thu, 12 Nov 2015)",lines,Thomas,r1544282
"2015-11-12 10:32:06 +0000 (Thu, 12 Nov 2015)",lines,Thomas,r1544253
"2015-11-12 10:27:58 +0000 (Thu, 12 Nov 2015)",lines,Thomas,r1544250
"2015-11-05 16:31:34 +0000 (Thu, 05 Nov 2015)",lines,Vincent,r1541334
"2015-11-04 20:47:04 +0000 (Wed, 04 Nov 2015)",lines,Vincent,r1540927
"2015-11-04 20:34:30 +0000 (Wed, 04 Nov 2015)",lines,Vincent,r1540926
"2015-11-04 16:37:55 +0000 (Wed, 04 Nov 2015)",lines,Vincent,r1540834
"2015-11-04 16:15:14 +0000 (Wed, 04 Nov 2015)",lines,Vincent,r1540809
"2015-11-03 14:59:39 +0000 (Tue, 03 Nov 2015)",line,Jimmy,r1540172
"2015-11-03 14:50:34 +0000 (Tue, 03 Nov 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1540168
"2015-11-03 14:35:14 +0000 (Tue, 03 Nov 2015)",line,Jimmy,r1540148
"2015-11-03 10:32:49 +0000 (Tue, 03 Nov 2015)",line,Jimmy,r1539956
"2015-11-03 09:59:13 +0000 (Tue, 03 Nov 2015)",line,Thomas,r1539933
"2015-11-03 09:57:23 +0000 (Tue, 03 Nov 2015)",line,Thomas,r1539930
"2015-11-02 15:15:35 +0000 (Mon, 02 Nov 2015)",line,ajon0002,r1539664
"2015-11-02 15:13:19 +0000 (Mon, 02 Nov 2015)",lines,ajon0002,r1539662
"2015-11-02 15:09:41 +0000 (Mon, 02 Nov 2015)",lines,ajon0002,r1539659
"2015-11-02 15:06:09 +0000 (Mon, 02 Nov 2015)",lines,ajon0002,r1539656
"2015-11-02 15:02:56 +0000 (Mon, 02 Nov 2015)",lines,ajon0002,r1539654
"2015-11-02 15:00:59 +0000 (Mon, 02 Nov 2015)",line,ajon0002,r1539651
"2015-11-02 15:00:06 +0000 (Mon, 02 Nov 2015)",lines,ajon0002,r1539648
"2015-11-02 14:58:00 +0000 (Mon, 02 Nov 2015)",lines,ajon0002,r1539645
"2015-11-02 14:55:02 +0000 (Mon, 02 Nov 2015)",lines,ajon0002,r1539640
"2015-11-02 11:38:15 +0000 (Mon, 02 Nov 2015)",line,Thomas,r1539452
"2015-11-02 11:32:59 +0000 (Mon, 02 Nov 2015)",line,Thomas,r1539443
"2015-10-30 16:07:02 +0000 (Fri, 30 Oct 2015)",line,Thomas,r1539019
"2015-10-30 15:30:32 +0000 (Fri, 30 Oct 2015)",line,Thomas,r1538990
"2015-10-30 12:22:31 +0000 (Fri, 30 Oct 2015)",line,Jimmy,r1538828
"2015-10-30 11:13:31 +0000 (Fri, 30 Oct 2015)",line,Thomas,r1538795
"2015-10-30 11:09:24 +0000 (Fri, 30 Oct 2015)",line,Thomas,r1538793
"2015-10-29 15:24:47 +0000 (Thu, 29 Oct 2015)",lines,Thomas,r1538454
"2015-10-29 15:13:29 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538444
"2015-10-29 14:49:23 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538425
"2015-10-29 14:38:14 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538416
"2015-10-29 14:30:41 +0000 (Thu, 29 Oct 2015)",lines,Thomas,r1538410
"2015-10-29 13:55:08 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538393
"2015-10-29 13:12:13 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538367
"2015-10-29 13:03:24 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538359
"2015-10-29 11:30:26 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538288
"2015-10-29 11:25:18 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538283
"2015-10-29 10:59:57 +0000 (Thu, 29 Oct 2015)",line,Jimmy,r1538264
"2015-10-29 10:05:43 +0000 (Thu, 29 Oct 2015)",line,Jimmy,r1538234
"2015-10-29 08:46:06 +0000 (Thu, 29 Oct 2015)",line,Thomas,r1538198
"2015-10-28 15:10:05 +0000 (Wed, 28 Oct 2015)",lines,Thomas,r1537920
"2015-10-28 15:07:07 +0000 (Wed, 28 Oct 2015)",line,Thomas,r1537919
"2015-10-28 15:02:17 +0000 (Wed, 28 Oct 2015)",line,Thomas,r1537915
"2015-10-28 14:57:51 +0000 (Wed, 28 Oct 2015)",line,Thomas,r1537911
"2015-10-28 09:36:03 +0000 (Wed, 28 Oct 2015)",line,Jimmy,r1537697
"2015-10-27 18:12:29 +0000 (Tue, 27 Oct 2015)",line,Vincent,r1537528
"2015-10-27 16:58:28 +0000 (Tue, 27 Oct 2015)",line,Jimmy,r1537485
"2015-10-27 16:28:16 +0000 (Tue, 27 Oct 2015)",line,Jimmy,r1537460
"2015-10-27 16:04:20 +0000 (Tue, 27 Oct 2015)",line,Jimmy,r1537454
"2015-10-27 16:01:15 +0000 (Tue, 27 Oct 2015)",line,Jimmy,r1537452
"2015-10-27 13:15:19 +0000 (Tue, 27 Oct 2015)",lines,Vincent,r1537319
"2015-10-23 17:03:31 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536385
"2015-10-23 16:07:36 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536330
"2015-10-23 15:53:51 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536312
"2015-10-23 15:53:31 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536311
"2015-10-23 13:40:49 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536126
"2015-10-23 13:30:01 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536118
"2015-10-23 11:57:54 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536037
"2015-10-23 10:59:01 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1536002
"2015-10-23 10:00:03 +0100 (Fri, 23 Oct 2015)",line,Jimmy,r1535957
"2015-10-22 14:42:26 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535594
"2015-10-22 14:40:39 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535593
"2015-10-22 14:35:31 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535587
"2015-10-22 14:23:01 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535571
"2015-10-22 14:08:58 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535537
"2015-10-22 13:52:30 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535523
"2015-10-22 13:42:47 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535517
"2015-10-22 13:36:58 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535516
"2015-10-22 11:26:04 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535453
"2015-10-22 11:25:35 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535452
"2015-10-22 11:25:18 +0100 (Thu, 22 Oct 2015)",line,Jimmy,r1535451
"2015-10-16 11:55:48 +0100 (Fri, 16 Oct 2015)",lines,Thomas,r1533128
"2015-10-16 11:32:58 +0100 (Fri, 16 Oct 2015)",line,Thomas,r1533115
"2015-10-16 11:13:18 +0100 (Fri, 16 Oct 2015)",line,Thomas,r1533097
"2015-10-16 11:04:56 +0100 (Fri, 16 Oct 2015)",line,Thomas,r1533092
"2015-10-15 16:50:56 +0100 (Thu, 15 Oct 2015)",lines,Thomas,r1532755
"2015-10-14 14:51:25 +0100 (Wed, 14 Oct 2015)",line,Jimmy,r1532018
"2015-10-14 14:49:17 +0100 (Wed, 14 Oct 2015)",line,Jimmy,r1532015
"2015-10-14 12:50:27 +0100 (Wed, 14 Oct 2015)",line,Jimmy,r1531912
"2015-10-14 12:40:19 +0100 (Wed, 14 Oct 2015)",line,Jimmy,r1531903
"2015-10-13 15:54:58 +0100 (Tue, 13 Oct 2015)",lines,Thomas,r1531479
"2015-10-09 14:34:54 +0100 (Fri, 09 Oct 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1530186
"2015-10-09 13:58:14 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1530155
"2015-10-09 12:52:44 +0100 (Fri, 09 Oct 2015)",line,Jimmy,r1530104
"2015-10-09 12:30:40 +0100 (Fri, 09 Oct 2015)",line,Jimmy,r1530087
"2015-10-09 12:10:54 +0100 (Fri, 09 Oct 2015)",line,Jimmy,r1530077
"2015-10-09 11:17:08 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1530022
"2015-10-09 11:09:59 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1530019
"2015-10-09 10:13:54 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1529976
"2015-10-09 09:24:07 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1529934
"2015-10-09 09:06:45 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1529923
"2015-10-09 08:55:33 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1529916
"2015-10-09 08:53:15 +0100 (Fri, 09 Oct 2015)",line,Thomas,r1529913
"2015-10-08 14:55:59 +0100 (Thu, 08 Oct 2015)",lines,Thomas,r1529617
"2015-10-08 14:49:55 +0100 (Thu, 08 Oct 2015)",line,Thomas,r1529611
"2015-10-08 14:38:16 +0100 (Thu, 08 Oct 2015)",line,Thomas,r1529597
"2015-10-07 15:19:21 +0100 (Wed, 07 Oct 2015)",line,Thomas,r1528989
"2015-10-07 14:44:23 +0100 (Wed, 07 Oct 2015)",line,Thomas,r1528947
"2015-10-07 14:23:29 +0100 (Wed, 07 Oct 2015)",line,Thomas,r1528925
"2015-10-07 14:19:38 +0100 (Wed, 07 Oct 2015)",line,Thomas,r1528923
"2015-10-07 14:19:14 +0100 (Wed, 07 Oct 2015)",line,Thomas,r1528922
"2015-10-07 11:06:28 +0100 (Wed, 07 Oct 2015)",line,Thomas,r1528797
"2015-10-07 10:45:54 +0100 (Wed, 07 Oct 2015)",lines,Thomas,r1528782
"2015-10-06 16:15:27 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528452
"2015-10-06 16:07:38 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528449
"2015-10-06 15:36:53 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528422
"2015-10-06 15:28:51 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528416
"2015-10-06 15:27:59 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528414
"2015-10-06 15:26:10 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528412
"2015-10-06 15:23:31 +0100 (Tue, 06 Oct 2015)",lines,Thomas,r1528411
"2015-10-06 15:21:35 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528409
"2015-10-06 15:18:18 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528404
"2015-10-06 15:13:00 +0100 (Tue, 06 Oct 2015)",line,Thomas,r1528397
"2015-10-02 16:23:05 +0100 (Fri, 02 Oct 2015)",lines,Thomas,r1527179
"2015-10-02 13:24:26 +0100 (Fri, 02 Oct 2015)",lines,Thomas,r1527029
"2015-10-02 10:15:40 +0100 (Fri, 02 Oct 2015)",lines,Thomas,r1526939
"2015-10-01 13:25:23 +0100 (Thu, 01 Oct 2015)",line,Thomas,r1526558
"2015-10-01 13:18:27 +0100 (Thu, 01 Oct 2015)",line,Jimmy,r1526549
"2015-10-01 12:29:00 +0100 (Thu, 01 Oct 2015)",line,Jimmy,r1526501
"2015-09-29 14:08:40 +0100 (Tue, 29 Sep 2015)",line,Jimmy,r1525171
"2015-09-29 12:49:38 +0100 (Tue, 29 Sep 2015)",line,Jimmy,r1525124
"2015-09-29 11:55:33 +0100 (Tue, 29 Sep 2015)",line,Jimmy,r1525067
"2015-09-29 11:50:00 +0100 (Tue, 29 Sep 2015)",line,Jimmy,r1525056
"2015-09-29 11:36:56 +0100 (Tue, 29 Sep 2015)",line,Jimmy,r1525043
"2015-09-29 11:31:00 +0100 (Tue, 29 Sep 2015)",line,Jimmy,r1525032
"2015-09-29 11:22:15 +0100 (Tue, 29 Sep 2015)",line,Jimmy,r1525020
"2015-09-28 11:47:57 +0100 (Mon, 28 Sep 2015)",line,Jimmy,r1524333
"2015-09-25 14:35:53 +0100 (Fri, 25 Sep 2015)",line,Thomas,r1523786
"2015-09-25 14:15:11 +0100 (Fri, 25 Sep 2015)",line,Jimmy,r1523768
"2015-09-25 11:35:42 +0100 (Fri, 25 Sep 2015)",line,Jimmy,r1523643
"2015-09-22 14:23:03 +0100 (Tue, 22 Sep 2015)",line,Thomas,r1521833
"2015-09-18 14:08:32 +0100 (Fri, 18 Sep 2015)",line,Jimmy,r1520473
"2015-09-17 15:02:43 +0100 (Thu, 17 Sep 2015)",line,Thomas,r1520031
"2015-09-16 15:05:40 +0100 (Wed, 16 Sep 2015)",line,Thomas,r1519600
"2015-09-16 14:19:18 +0100 (Wed, 16 Sep 2015)",line,Thomas,r1519555
"2015-09-16 08:42:42 +0100 (Wed, 16 Sep 2015)",line,Jimmy,r1519330
"2015-09-10 17:34:36 +0100 (Thu, 10 Sep 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1517160
"2015-09-10 11:03:36 +0100 (Thu, 10 Sep 2015)",line,Jimmy,r1516858
"2015-09-10 09:49:48 +0100 (Thu, 10 Sep 2015)",line,Jimmy,r1516801
"2015-09-09 15:10:46 +0100 (Wed, 09 Sep 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1516395
"2015-09-09 14:45:52 +0100 (Wed, 09 Sep 2015)",line,Jimmy,r1516364
"2015-09-09 13:23:06 +0100 (Wed, 09 Sep 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1516286
"2015-09-09 11:37:11 +0100 (Wed, 09 Sep 2015)",lines,Thomas,r1516221
"2015-09-09 11:18:13 +0100 (Wed, 09 Sep 2015)",line,Thomas,r1516206
"2015-09-09 10:57:24 +0100 (Wed, 09 Sep 2015)",line,Thomas,r1516182
"2015-09-09 09:54:23 +0100 (Wed, 09 Sep 2015)",line,Thomas,r1516140
"2015-09-09 09:35:37 +0100 (Wed, 09 Sep 2015)",line,Jimmy,r1516124
"2015-09-09 08:36:04 +0100 (Wed, 09 Sep 2015)",line,Jimmy,r1516078
"2015-09-08 16:52:10 +0100 (Tue, 08 Sep 2015)",line,Thomas,r1515856
"2015-09-08 13:00:44 +0100 (Tue, 08 Sep 2015)",line,Thomas,r1515669
"2015-09-08 11:12:36 +0100 (Tue, 08 Sep 2015)",line,Thomas,r1515598
"2015-09-08 11:09:10 +0100 (Tue, 08 Sep 2015)",line,Thomas,r1515597
"2015-09-08 09:46:51 +0100 (Tue, 08 Sep 2015)",line,Thomas,r1515550
"2015-09-07 18:02:26 +0100 (Mon, 07 Sep 2015)",lines,Freddie,r1515469
"2015-09-07 08:40:42 +0100 (Mon, 07 Sep 2015)",lines,Freddie,r1515192
"2015-09-04 15:28:55 +0100 (Fri, 04 Sep 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1514885
"2015-09-04 14:45:09 +0100 (Fri, 04 Sep 2015)",line,Thomas,r1514854
"2015-09-04 14:35:07 +0100 (Fri, 04 Sep 2015)",line,Thomas,r1514848
"2015-09-04 12:36:03 +0100 (Fri, 04 Sep 2015)",line,Thomas,r1514769
"2015-09-04 10:33:11 +0100 (Fri, 04 Sep 2015)",line,Thomas,r1514659
"2015-09-04 09:24:09 +0100 (Fri, 04 Sep 2015)",line,Thomas,r1514632
"2015-09-03 16:43:11 +0100 (Thu, 03 Sep 2015)",line,Thomas,r1514422
"2015-09-03 10:11:46 +0100 (Thu, 03 Sep 2015)",lines,Freddie,r1514088
"2015-08-28 09:28:08 +0100 (Fri, 28 Aug 2015)",lines,Freddie,r1511865
"2015-08-27 15:18:55 +0100 (Thu, 27 Aug 2015)",line,murari.krishnan,r1511531
"2015-08-27 09:07:17 +0100 (Thu, 27 Aug 2015)",line,Thomas,r1511263
"2015-08-26 10:51:19 +0100 (Wed, 26 Aug 2015)",lines,Freddie,r1510630
"2015-08-26 09:41:24 +0100 (Wed, 26 Aug 2015)",line,Thomas,r1510560
"2015-08-26 08:12:56 +0100 (Wed, 26 Aug 2015)",lines,Freddie,r1510491
"2015-08-25 17:19:59 +0100 (Tue, 25 Aug 2015)",lines,Nicky,r1510251
"2015-08-25 16:28:54 +0100 (Tue, 25 Aug 2015)",line,Thomas,r1510206
"2015-08-25 09:34:01 +0100 (Tue, 25 Aug 2015)",line,Thomas,r1509790
"2015-08-24 11:14:13 +0100 (Mon, 24 Aug 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1509257
"2015-08-24 10:37:35 +0100 (Mon, 24 Aug 2015)",line,Jimmy,r1509222
"2015-08-21 16:50:38 +0100 (Fri, 21 Aug 2015)",line,Jimmy,r1508948
"2015-08-21 14:07:58 +0100 (Fri, 21 Aug 2015)",line,Jimmy,r1508779
"2015-08-21 12:12:20 +0100 (Fri, 21 Aug 2015)",line,Jimmy,r1508685
"2015-08-21 11:16:41 +0100 (Fri, 21 Aug 2015)",line,Jimmy,r1508629
"2015-08-20 15:06:07 +0100 (Thu, 20 Aug 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1508188
"2015-08-20 14:41:27 +0100 (Thu, 20 Aug 2015)",line,Jimmy,r1508164
"2015-08-20 14:35:13 +0100 (Thu, 20 Aug 2015)",line,Jimmy,r1508161
"2015-08-20 14:28:08 +0100 (Thu, 20 Aug 2015)",line,Jimmy,r1508151
"2015-08-20 14:19:26 +0100 (Thu, 20 Aug 2015)",line,Jimmy,r1508145
"2015-08-20 12:05:30 +0100 (Thu, 20 Aug 2015)",line,Thomas,r1508044
"2015-08-20 11:49:01 +0100 (Thu, 20 Aug 2015)",line,Thomas,r1508020
"2015-08-20 09:42:08 +0100 (Thu, 20 Aug 2015)",line,Thomas,r1507926
"2015-08-20 09:32:45 +0100 (Thu, 20 Aug 2015)",line,Thomas,r1507915
"2015-08-19 16:54:40 +0100 (Wed, 19 Aug 2015)",line,Thomas,r1507705
"2015-08-19 15:30:13 +0100 (Wed, 19 Aug 2015)",line,Thomas,r1507637
"2015-08-19 10:47:31 +0100 (Wed, 19 Aug 2015)",line,Thomas,r1507417
"2015-08-19 10:46:16 +0100 (Wed, 19 Aug 2015)",lines,Thomas,r1507415
"2015-08-19 10:36:15 +0100 (Wed, 19 Aug 2015)",lines,Thomas,r1507409
"2015-08-17 16:22:32 +0100 (Mon, 17 Aug 2015)",line,Thomas,r1506528
"2015-08-17 13:36:03 +0100 (Mon, 17 Aug 2015)",line,Thomas,r1506431
"2015-08-14 13:54:38 +0100 (Fri, 14 Aug 2015)",line,Jimmy,r1505785
"2015-08-14 13:17:45 +0100 (Fri, 14 Aug 2015)",line,Jimmy,r1505761
"2015-08-14 12:44:07 +0100 (Fri, 14 Aug 2015)",line,Jimmy,r1505731
"2015-08-14 09:38:08 +0100 (Fri, 14 Aug 2015)",line,Jimmy,r1505616
"2015-08-13 14:59:27 +0100 (Thu, 13 Aug 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1505141
"2015-08-13 14:11:18 +0100 (Thu, 13 Aug 2015)",lines,Nicky,r1505095
"2015-08-13 13:24:34 +0100 (Thu, 13 Aug 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1505036
"2015-08-13 12:56:59 +0100 (Thu, 13 Aug 2015)",line,Jimmy,r1505021
"2015-08-13 11:45:19 +0100 (Thu, 13 Aug 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1504972
"2015-08-13 11:11:29 +0100 (Thu, 13 Aug 2015)",line,Jimmy,r1504930
"2015-08-13 10:34:01 +0100 (Thu, 13 Aug 2015)",line,Jimmy,r1504897
"2015-08-13 10:33:33 +0100 (Thu, 13 Aug 2015)",line,Jimmy,r1504896
"2015-08-13 10:21:05 +0100 (Thu, 13 Aug 2015)",line,Jimmy,r1504892
"2015-08-12 17:59:37 +0100 (Wed, 12 Aug 2015)",line,Jimmy,r1504678
"2015-08-12 15:08:00 +0100 (Wed, 12 Aug 2015)",line,Jimmy,r1504521
"2015-08-12 13:23:37 +0100 (Wed, 12 Aug 2015)",line,Jimmy,r1504447
"2015-08-12 12:19:41 +0100 (Wed, 12 Aug 2015)",line,Jimmy,r1504404
"2015-08-12 12:08:41 +0100 (Wed, 12 Aug 2015)",line,Jimmy,r1504391
"2015-08-12 10:29:11 +0100 (Wed, 12 Aug 2015)",lines,Jimmy,r1504316
"2015-08-12 08:26:25 +0100 (Wed, 12 Aug 2015)",line,Jimmy,r1504239
"2015-08-10 14:30:21 +0100 (Mon, 10 Aug 2015)",line,Jimmy,r1503167
"2015-08-10 14:25:22 +0100 (Mon, 10 Aug 2015)",line,Jimmy,r1503160
"2015-08-10 14:06:28 +0100 (Mon, 10 Aug 2015)",line,Jimmy,r1503152
"2015-08-10 14:01:26 +0100 (Mon, 10 Aug 2015)",line,Jimmy,r1503149
"2015-08-07 13:55:01 +0100 (Fri, 07 Aug 2015)",line,Jimmy,r1502449
